square_feet,bedrooms,bathrooms,age_years,lot_size,garage_spaces,neighborhood_score,price
3974,1,2,11,4409,3,2,696118.5575581781
1660,5,2,1,5512,1,3,453466.3754545933
2094,4,1,6,2025,0,10,437491.96191332175
1930,2,2,15,9192,2,5,443578.44902071205
1895,1,1,2,7513,0,9,429327.62861876935
3892,1,1,44,8650,0,4,638246.4718757387
2438,2,3,2,9468,1,1,535651.4054851894
2969,4,3,26,9506,0,4,628924.799003522
1266,1,3,49,8410,2,6,249217.7475062519
2038,1,3,42,2460,2,5,336769.3490206037
1130,5,2,39,5764,1,1,306117.67016745976
2282,4,3,37,8599,0,4,481811.0728273101
2935,1,2,32,5431,2,6,500216.76954508416
3971,4,3,27,7187,0,10,776160.2978157286
3719,2,2,0,7102,0,10,713441.9848479035
930,3,1,7,9006,0,4,296232.4497011496
2485,1,2,36,5483,1,9,443544.41137581755
1569,5,2,31,3994,0,5,351947.14152310597
3191,2,3,47,2490,2,8,526190.3001278903
2315,4,2,42,3072,0,9,438411.85710315034
3653,2,1,36,9854,2,10,673705.4608353656
3233,1,1,3,8707,0,5,618688.183962954
2015,4,3,29,5173,2,6,445588.7772072996
1755,3,1,5,2215,2,1,367100.61115268955
3124,2,2,45,9605,0,7,564412.6731990024
1984,1,1,18,3723,0,4,350408.05609925784
1259,5,3,31,3592,2,2,318800.6797488202
821,4,2,8,4606,3,5,291384.31025620457
3100,2,3,11,2158,1,3,553680.4220744799
1547,2,2,10,8632,3,6,401019.92389993765
3704,3,1,45,6781,3,8,639299.9913637115
1274,3,3,15,5313,0,7,329089.5354983801
1882,5,3,0,4841,1,3,492296.61147855385
3358,5,2,44,3776,3,8,624587.3977585766
2847,1,3,20,4052,0,2,506398.73734948575
3547,1,2,29,9763,3,10,662368.7443042491
1775,5,2,12,7939,3,9,497720.5284683676
2606,5,2,33,8504,0,4,557447.9757227367
989,4,2,3,8602,0,1,345817.738078316
3805,3,1,27,4295,0,8,650443.4631719786
3534,1,2,37,7685,1,7,610443.6348227119
3805,3,3,30,3696,3,5,686351.4029605467
1362,3,1,26,4993,0,10,307301.7846690794
2699,5,3,4,4469,2,5,590675.2234162892
2067,4,1,24,3946,3,7,434114.8962397348
3679,2,2,2,5809,2,5,723065.3103939724
2328,4,1,32,8158,1,8,487179.60731243016
1446,4,1,3,4783,0,6,364449.2290214468
2868,3,3,24,5644,2,5,572373.485597114
3688,4,3,19,7241,1,9,747733.7821046658
3014,1,2,33,8420,0,2,538227.3516541641
2097,3,1,25,7677,2,1,416741.3184409111
3235,1,1,4,4500,2,8,598563.8025257499
1400,2,1,34,9557,1,3,312474.22061251465
3163,3,2,27,9461,0,7,624638.5346305945
2861,2,2,28,5645,0,10,532986.8731792169
1041,3,2,8,4645,2,8,320894.5748159836
2841,5,2,37,8589,2,6,604763.1538002845
3624,4,2,49,8353,2,10,667699.8068792627
3412,5,3,5,9757,0,9,779571.5818675548
3745,2,1,18,8857,1,7,694673.1139496748
2163,4,1,43,4349,1,10,412668.7409801551
2939,3,1,10,3932,0,5,550901.969910017
2190,4,1,1,5294,3,8,511937.5701120174
3803,1,1,46,3757,1,2,573937.0749710706
2278,4,1,43,8146,2,7,462322.8204015079
3356,1,1,43,7085,3,4,539054.5387161683
1575,4,1,8,7637,3,9,429684.7014403027
834,1,3,20,3116,1,1,191046.94716810476
3053,2,1,23,4567,3,7,560912.1478429706
3952,5,3,33,5499,3,6,765820.9468494883
2755,3,2,21,2492,1,8,506664.64721252955
2385,4,1,2,5306,1,5,546661.8991667889
3873,5,2,11,2619,3,1,735787.7531097798
1821,3,2,27,5232,2,1,387223.90737999015
3413,3,2,29,9888,0,9,668312.8556642277
1929,1,3,25,5823,3,10,412913.5924470545
2300,2,2,47,8474,3,6,447134.68504518404
1502,2,2,20,4380,2,10,351281.94711754256
3249,5,2,27,8193,3,5,685853.6830537822
3577,2,1,25,3546,3,1,603731.9700007298
2379,4,1,32,6958,0,6,472279.1326880589
961,2,3,20,7787,0,6,279302.5395804394
1001,5,3,34,5563,0,3,295106.07510324195
2781,2,1,33,3605,1,8,480531.2807234107
1795,4,3,40,5752,1,1,377542.79299223394
3117,1,1,46,8415,0,1,508351.71965714387
1615,5,2,17,6675,0,6,437526.1674548618
1255,1,2,10,3890,1,10,282986.7908092658
2075,1,3,22,3275,2,1,369630.7929620372
1816,1,1,47,8703,3,6,332026.2494109466
3143,3,1,21,4743,3,1,572956.126681892
3567,3,3,16,7951,0,6,700314.3298623295
1137,1,1,4,9866,2,3,328732.02678867144
1678,5,2,43,9257,1,8,421510.6686151845
1876,4,3,10,4493,0,6,449724.47048240737
1591,4,3,29,9160,2,1,395890.90476131474
3064,2,1,14,7451,2,5,572951.8418357249
1563,5,3,26,7258,2,8,436840.09250281804
3035,3,1,34,2356,1,3,478484.0437384516
1179,1,1,32,7720,1,6,258176.3740964407
1292,2,1,19,8417,3,5,323388.4615562768
3912,4,1,15,9186,3,6,809090.9296959473
1980,3,1,33,8102,2,10,450099.1625061611
2862,3,3,1,8454,2,1,628025.5093075249
864,1,2,34,2869,1,7,165226.62997468686
3368,4,2,39,2885,3,9,618005.8151400203
2167,5,3,27,4001,2,2,489091.7260991804
1952,3,3,46,8297,3,10,417389.7094256398
2827,1,2,38,7509,3,5,485276.24534645316
3495,5,2,5,3283,2,10,710859.6519444562
2295,4,2,8,2619,1,4,487267.37583173864
3934,3,2,19,2882,2,6,703888.735905076
1962,5,2,0,2796,2,6,490957.7145498385
2322,5,1,7,5642,3,2,514723.02471634693
3440,5,3,22,8268,2,2,692518.5613703112
1191,3,1,2,5425,1,4,329480.14195302146
2498,3,2,3,3296,2,1,496378.03727034765
1218,2,2,24,6714,1,9,283655.12135611364
3136,4,2,46,7930,1,7,595150.6374595938
1178,1,1,37,2244,3,7,204071.75688218678
2596,5,1,14,4895,0,3,533129.4286787872
3078,2,2,20,8593,0,3,582051.5161381752
3865,1,1,34,2929,3,1,592446.3776785409
2888,2,1,45,7366,2,3,487154.1723759922
3899,3,2,13,2519,3,3,684559.5288805984
2982,5,1,35,5212,1,4,554273.1932300957
1000,1,3,11,4409,0,4,254302.79905013816
2663,1,3,16,2007,3,3,479736.785413765
1579,1,3,38,4525,2,10,312780.5980596682
3777,1,3,8,5423,3,8,698828.5151814662
3904,1,2,34,4019,0,8,629974.9683786433
3919,2,2,12,6590,3,1,695979.3495355714
1302,5,2,14,7725,3,7,412334.7666388539
3254,3,3,17,8976,0,2,669148.5770781357
2551,3,3,32,9594,1,1,512848.67867957894
1604,3,1,5,7158,1,3,385320.72326682246
2946,3,1,26,8736,0,4,567551.0677871013
3531,2,3,22,6282,3,6,678998.4263442749
2695,4,3,26,5667,0,10,559437.7538369985
3573,5,3,33,5671,1,5,684737.496707341
2370,1,3,45,4801,2,4,380820.7685758392
1760,4,1,37,7973,3,8,404764.38129308104
3460,3,3,13,8236,1,4,717780.7604014374
2285,4,1,35,2085,3,10,436373.5846196468
3490,5,3,7,5115,0,2,711427.2102081629
1828,1,3,34,6232,2,3,355740.8231076698
1302,1,3,18,4468,0,6,286869.079960514
3614,5,1,29,8217,2,8,707139.8562773986
1197,5,1,13,5619,3,8,371972.79915677704
